"Team","Conference","YUSAG_Coefficient","rank","info","Conference_Rank","record","conf_record"
"Lamar University","Southland",-3.34,212,"(Conference Rank:  25)",5,"14 - 13","10 - 8"
"Southeastern La.","Southland",-3.41,217,"(Conference Rank:  25)",6,"16 - 12","13 - 5"
"New Orleans","Southland",-4.94,241,"(Conference Rank:  25)",7,"12 - 14","12 - 6"
"Abilene Christian","Southland",-5.02,242,"(Conference Rank:  25)",8,"14 - 13","10 - 8"
"A&M-Corpus Chris","Southland",-7.91,278,"(Conference Rank:  25)",9,"6 - 19","6 - 12"
"McNeese","Southland",-8.19,279,"(Conference Rank:  25)",10,"8 - 17","8 - 10"
"Houston Baptist","Southland",-11.7,326,"(Conference Rank:  25)",11,"5 - 23","4 - 14"
"Incarnate Word","Southland",-14.8,337,"(Conference Rank:  25)",12,"4 - 20","3 - 15"
"Northwestern St.","Southland",-18.03,344,"(Conference Rank:  25)",13,"2 - 23","1 - 17"
"South Dakota","Summit",6.78,84,"(Conference Rank:  16)",1,"19 - 8","10 - 4"
"South Dakota St.","Summit",6.69,85,"(Conference Rank:  16)",2,"20 - 7","12 - 2"
"North Dakota St.","Summit",1.58,152,"(Conference Rank:  16)",3,"14 - 13","8 - 6"
"Fort Wayne","Summit",-0.02,168,"(Conference Rank:  16)",4,"14 - 13","7 - 7"
"Oral Roberts","Summit",-3.11,210,"(Conference Rank:  16)",5,"9 - 18","6 - 8"
"Denver","Summit",-4.54,231,"(Conference Rank:  16)",6,"11 - 15","7 - 7"
"Omaha","Summit",-7.34,264,"(Conference Rank:  16)",7,"7 - 21","4 - 10"
"Western Ill.","Summit",-10.93,317,"(Conference Rank:  16)",8,"7 - 16","2 - 12"
"Louisiana","Sunbelt",10.27,51,"(Conference Rank:  18)",1,"25 - 4","17 - 1"
"UT Arlington","Sunbelt",3.49,122,"(Conference Rank:  18)",2,"17 - 13","9 - 9"
"Ga. Southern","Sunbelt",2.73,133,"(Conference Rank:  18)",3,"19 - 10","12 - 6"
"Georgia St.","Sunbelt",2.41,139,"(Conference Rank:  18)",4,"20 - 9","13 - 5"
"Troy","Sunbelt",-0.25,173,"(Conference Rank:  18)",5,"12 - 17","8 - 10"
"Texas St.","Sunbelt",-2.34,195,"(Conference Rank:  18)",6,"15 - 14","10 - 8"
"Coastal Caro.","Sunbelt",-2.48,198,"(Conference Rank:  18)",7,"11 - 17","8 - 10"
"Appalachian St.","Sunbelt",-5.11,245,"(Conference Rank:  18)",8,"10 - 19","7 - 11"
"South Ala.","Sunbelt",-5.41,247,"(Conference Rank:  18)",9,"12 - 17","7 - 11"
"La.-Monroe","Sunbelt",-7.33,262,"(Conference Rank:  18)",10,"9 - 17","6 - 12"
"Arkansas St.","Sunbelt",-7.42,267,"(Conference Rank:  18)",11,"9 - 20","6 - 12"
"Little Rock","Sunbelt",-7.52,269,"(Conference Rank:  18)",12,"7 - 22","5 - 13"
"Texas Southern","SWAC",-4.47,226,"(Conference Rank:  32)",1,"13 - 18","13 - 5"
"Prairie View","SWAC",-6.93,257,"(Conference Rank:  32)",2,"13 - 18","11 - 7"
"Grambling","SWAC",-9.6,303,"(Conference Rank:  32)",3,"15 - 15","12 - 6"
"Ark.-Pine Bluff","SWAC",-10.28,309,"(Conference Rank:  32)",4,"13 - 19","13 - 5"
"Southern U.","SWAC",-11.12,318,"(Conference Rank:  32)",5,"12 - 17","10 - 8"
"Jackson St.","SWAC",-14.06,336,"(Conference Rank:  32)",6,"11 - 18","10 - 8"
"Alcorn","SWAC",-15.69,340,"(Conference Rank:  32)",7,"6 - 21","6 - 12"
"Alabama St.","SWAC",-17.47,343,"(Conference Rank:  32)",8,"6 - 24","6 - 12"
"Alabama A&M","SWAC",-18.22,346,"(Conference Rank:  32)",9,"5 - 26","5 - 13"
"Mississippi Val.","SWAC",-19.15,348,"(Conference Rank:  32)",10,"3 - 28","3 - 15"
"New Mexico St.","WAC",11.48,43,"(Conference Rank:  21)",1,"23 - 4","13 - 1"
"Utah Valley","WAC",5.54,96,"(Conference Rank:  32)",2,"19 - 8","11 - 3"
"Grand Canyon","WAC",5.41,98,"(Conference Rank:  21)",3,"20 - 9","10 - 4"
"Seattle U","WAC",-2.33,193,"(Conference Rank:  32)",4,"16 - 12","8 - 6"
"UTRGV","WAC",-4.12,221,"(Conference Rank:  21)",5,"13 - 16","6 - 8"
"CSU Bakersfield","WAC",-7.46,268,"(Conference Rank:  32)",6,"8 - 18","4 - 10"
"UMKC","WAC",-10.57,312,"(Conference Rank:  21)",7,"6 - 22","3 - 11"
"Chicago St.","WAC",-20.16,349,"(Conference Rank:  32)",8,"1 - 28","1 - 13"
"Gonzaga","WCC",18.92,6,"(Conference Rank:  11)",1,"26 - 5","16 - 2"
"Saint Mary's (CA)","WCC",13.77,26,"(Conference Rank:  11)",2,"28 - 3","17 - 1"
"BYU","WCC",10.09,55,"(Conference Rank:  11)",3,"24 - 7","13 - 5"
"San Diego","WCC",3.07,128,"(Conference Rank:  11)",4,"17 - 12","9 - 9"
"San Francisco","WCC",1.9,146,"(Conference Rank:  11)",5,"15 - 15","8 - 10"
"Pacific","WCC",-1.03,180,"(Conference Rank:  11)",6,"13 - 17","9 - 9"
"Loyola Marymount","WCC",-4.53,229,"(Conference Rank:  11)",7,"8 - 20","4 - 14"
"Portland","WCC",-6.57,254,"(Conference Rank:  11)",8,"8 - 20","5 - 13"
"Santa Clara","WCC",-7.14,260,"(Conference Rank:  11)",9,"9 - 19","7 - 11"
"Pepperdine","WCC",-9.76,304,"(Conference Rank:  11)",10,"4 - 25","2 - 16"
